Date,Month,Year,Opponent,Result,Series,Notes
22,September,2007,Australia,W,ICC World Twenty20,
20,October,2007,Australia,W,Australia Tour of India,
1,February,2008,Australia,L,India Tour of Australia,
7,May,2010,Australia,L,ICC World Twenty20,
1,February,2012,Australia,L,India Tour of Australia,
3,February,2012,Australia,W,India Tour of Australia,
28,September,2012,Australia,L,ICC World Twenty20,
10,October,2013,Australia,W,Australia Tour of India,
30,March,2014,Australia,W,World T20,
26,January,2016,Australia,W,India Tour of Australia,
29,January,2016,Australia,W,India Tour of Australia,
31,January,2016,Australia,W,India Tour of Australia,
27,March,2016,Australia,W,World T20,
7,October,2017,Australia,W,Australia Tour of India,
10,October,2017,Australia,L,Australia Tour of India,
21,November,2018,Australia,L,India Tour of Australia,
25,November,2018,Australia,W,India Tour of Australia,
24,February,2019,Australia,L,Australia Tour of India,
27,February,2019,Australia,L,Australia Tour of India,
4,December,2020,Australia,W,India Tour of Australia,
6,December,2020,Australia,W,India Tour of Australia,
8,December,2020,Australia,L,India Tour of Australia,
